Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-22T17:48:09.310Z",15.02,7,7,106
"2026-09-22T17:48:10.310Z",14.2,7,7,109
"2026-09-22T17:48:11.325Z",14.5,6.9,6.9,110
"2026-09-22T17:48:12.426Z",14.37,7.27,7.27,102
"2026-09-22T17:48:13.426Z",15,6.99,6.99,105
"2026-09-22T17:48:14.426Z",14.02,7,7,99
"2026-09-22T17:48:15.426Z",13.3,6.99,6.99,106
"2026-09-22T17:48:16.441Z",16.25,6.9,6.9,98
"2026-09-22T17:48:17.441Z",17.35,7.01,7.01,102
"2026-09-22T17:48:18.441Z",15.62,6.99,6.99,100
"2026-09-22T17:48:19.441Z",16.15,7,7,106
"2026-09-22T17:48:20.550Z",15.83,7.22,7.22,107
"2026-09-22T17:48:21.550Z",16.85,7,7,98
"2026-09-22T17:48:22.550Z",17.12,7,7,99
"2026-09-22T17:48:23.550Z",15.39,6.99,6.99,100
"2026-09-22T17:48:24.551Z",17.15,6.99,6.99,112
"2026-09-22T17:48:25.551Z",16.11,7,7,100
"2026-09-22T17:48:26.551Z",14.22,7,7,105
"2026-09-22T17:48:27.552Z",16.06,7,7,104
"2026-09-22T17:48:28.552Z",16.08,6.99,6.99,102
"2026-09-22T17:48:29.553Z",16.11,7,7,109
"2026-09-22T17:48:30.553Z",17.04,6.99,6.99,102
"2026-09-22T17:48:31.558Z",16.11,6.98,6.98,107
"2026-09-22T17:48:32.558Z",17.09,6.99,6.99,104
"2026-09-22T17:48:33.559Z",16.24,7,7,108
"2026-09-22T17:48:34.559Z",12.68,6.99,6.99,114
"2026-09-22T17:48:35.674Z",14.4,7.17,7.17,114
"2026-09-22T17:48:36.675Z",15.33,7,7,101
"2026-09-22T17:48:37.675Z",18.06,7,7,104
"2026-09-22T17:48:38.675Z",17.84,7,7,108
"2026-09-22T17:48:39.676Z",16.11,7,7,102
"2026-09-22T17:48:40.676Z",15.25,6.99,6.99,101
"2026-09-22T17:48:41.676Z",15.35,7.01,7.01,104
"2026-09-22T17:48:42.677Z",17.13,7,7,97
"2026-09-22T17:48:43.676Z",15.26,6.99,6.99,107
"2026-09-22T17:48:44.789Z",17.66,7.19,7.19,111
"2026-09-22T17:48:45.789Z",17.88,7,7,104
"2026-09-22T17:48:46.790Z",16.97,6.99,6.99,104
"2026-09-22T17:48:47.790Z",18.68,7.01,7.01,110
"2026-09-22T17:48:48.790Z",13.82,6.99,6.99,110
"2026-09-22T17:48:49.791Z",14.74,6.99,6.99,101
"2026-09-22T17:48:50.791Z",13.9,7,7,112
"2026-09-22T17:48:51.807Z",14.33,6.88,6.88,112
"2026-09-22T17:48:52.906Z",15.1,7.28,7.28,101
"2026-09-22T17:48:53.914Z",14.23,6.94,6.94,112
"2026-09-22T17:48:54.915Z",16.1,6.99,6.99,107
"2026-09-22T17:48:55.915Z",16.22,7.01,7.01,99
"2026-09-22T17:48:56.915Z",14.37,6.99,6.99,102
"2026-09-22T17:48:57.916Z",14.26,7,7,106
"2026-09-22T17:48:58.916Z",13.37,6.99,6.99,107
"2026-09-22T17:48:59.917Z",13.26,7,7,108
"2026-09-22T17:49:00.916Z",15.01,7,7,106
"2026-09-22T17:49:01.917Z",16.84,7,7,108
"2026-09-22T17:49:02.925Z",16.81,6.94,6.94,99
"2026-09-22T17:49:03.925Z",15.94,6.99,6.99,102
"2026-09-22T17:49:05.031Z",14.25,7.24,7.24,103
"2026-09-22T17:49:06.031Z",14.25,6.99,6.99,103
"2026-09-22T17:49:07.031Z",14.26,7.01,7.01,105
"2026-09-22T17:49:08.032Z",14.21,6.99,6.99,108
"2026-09-22T17:49:09.032Z",14.45,6.99,6.99,111
"2026-09-22T17:49:10.041Z",15.93,6.94,6.94,104
"2026-09-22T17:49:11.042Z",15.95,6.99,6.99,106
"2026-09-22T17:49:12.042Z",16.57,6.99,6.99,109
"2026-09-22T17:49:13.042Z",18.32,7.01,7.01,109
