Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-21T18:43:25.437Z",15.83,9.01,9.01,46
"2026-09-21T18:43:26.438Z",16.23,9.99,9.99,46
"2026-09-21T18:43:27.438Z",16.8,9.99,9.99,47
"2026-09-21T18:43:28.438Z",17.97,10.01,10.01,47
"2026-09-21T18:43:29.438Z",19.05,10,10,47
"2026-09-21T18:43:30.438Z",20.01,9.99,9.99,47
"2026-09-21T18:43:31.438Z",21.98,10.01,10.01,46
"2026-09-21T18:43:32.438Z",25.05,10,10,47
"2026-09-21T18:43:33.438Z",27.91,10,10,47
"2026-09-21T18:43:34.438Z",28.33,9.99,9.99,47
"2026-09-21T18:43:35.439Z",24.74,10,10,47
"2026-09-21T18:43:36.439Z",18.98,10.01,10.01,48
"2026-09-21T18:43:37.438Z",17.59,9.99,9.99,46
"2026-09-21T18:43:38.438Z",17.99,10,10,47
"2026-09-21T18:43:39.439Z",17,10,10,46
"2026-09-21T18:43:40.439Z",17.4,10,10,47
"2026-09-21T18:43:41.438Z",17.73,10,10,46
"2026-09-21T18:43:42.438Z",18.77,10,10,48
"2026-09-21T18:43:43.439Z",20.51,10,10,48
"2026-09-21T18:43:44.439Z",21.76,10,10,48
"2026-09-21T18:43:45.439Z",24.66,9.99,9.99,47
"2026-09-21T18:43:46.439Z",26.96,10,10,47
"2026-09-21T18:43:47.439Z",28.35,10,10,49
"2026-09-21T18:43:48.440Z",23.36,10.01,10.01,48
"2026-09-21T18:43:49.440Z",18.13,9.99,9.99,48
"2026-09-21T18:43:50.440Z",17.92,10,10,46
"2026-09-21T18:43:51.439Z",16.71,10,10,47
"2026-09-21T18:43:52.440Z",16.85,10,10,48
"2026-09-21T18:43:53.440Z",16.97,10,10,48
"2026-09-21T18:43:54.440Z",17.81,10,10,49
"2026-09-21T18:43:55.439Z",19.65,10,10,48
"2026-09-21T18:43:56.440Z",21,10,10,48
"2026-09-21T18:43:57.440Z",22.85,10,10,47
"2026-09-21T18:43:58.440Z",26.97,10,10,47
"2026-09-21T18:43:59.440Z",32.33,9.99,9.99,47
"2026-09-21T18:44:00.440Z",26.73,10.01,10.01,47
"2026-09-21T18:44:01.440Z",17.64,9.99,9.99,47
"2026-09-21T18:44:02.441Z",16.92,10,10,48
"2026-09-21T18:44:03.440Z",17.53,10.01,10.01,48
"2026-09-21T18:44:04.440Z",18.39,9.99,9.99,47
"2026-09-21T18:44:05.441Z",20.55,10,10,48
"2026-09-21T18:44:06.441Z",24.71,10,10,47
"2026-09-21T18:44:07.441Z",27.14,10,10,47
"2026-09-21T18:44:08.441Z",22.74,10,10,47
"2026-09-21T18:44:09.441Z",17.35,10,10,47
"2026-09-21T18:44:10.441Z",16.79,10,10,48
"2026-09-21T18:44:11.441Z",17.31,9.99,9.99,47
"2026-09-21T18:44:12.441Z",18.08,10.01,10.01,46
"2026-09-21T18:44:13.441Z",18.84,10,10,49
"2026-09-21T18:44:14.441Z",19.36,10,10,48
"2026-09-21T18:44:15.442Z",20.56,9.99,9.99,47
"2026-09-21T18:44:16.442Z",22.8,10.01,10.01,46
"2026-09-21T18:44:17.442Z",20.24,9.99,9.99,47
"2026-09-21T18:44:18.442Z",16.48,10.01,10.01,48
"2026-09-21T18:44:19.442Z",16.62,9.99,9.99,46
"2026-09-21T18:44:20.441Z",17.29,10,10,47
"2026-09-21T18:44:21.442Z",18.37,10,10,47
"2026-09-21T18:44:22.442Z",19.17,10,10,46
"2026-09-21T18:44:23.446Z",19.59,9.96,9.96,46
"2026-09-21T18:44:24.445Z",19.98,10,10,48
"2026-09-21T18:44:25.446Z",20.36,10,10,47
