Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-21T18:25:25.804Z",24.99,4,4,47
"2026-09-21T18:25:26.804Z",19.86,5,5,48
"2026-09-21T18:25:27.804Z",15.06,5,5,47
"2026-09-21T18:25:28.804Z",15.03,5,5,46
"2026-09-21T18:25:29.804Z",15.11,5,5,46
"2026-09-21T18:25:30.804Z",15.15,5,5,46
"2026-09-21T18:25:31.805Z",15.08,5,5,47
"2026-09-21T18:25:32.805Z",15.08,5,5,46
"2026-09-21T18:25:33.805Z",15.11,5,5,47
"2026-09-21T18:25:34.804Z",15.16,5,5,46
"2026-09-21T18:25:35.805Z",15.23,5,5,47
"2026-09-21T18:25:36.804Z",15.24,5,5,46
"2026-09-21T18:25:37.805Z",15.29,5,5,47
"2026-09-21T18:25:38.804Z",15.53,5,5,46
"2026-09-21T18:25:39.805Z",15.74,5,5,47
"2026-09-21T18:25:40.805Z",15.84,5,5,47
"2026-09-21T18:25:41.805Z",16.15,5,5,47
"2026-09-21T18:25:42.805Z",16.43,5.01,5.01,48
"2026-09-21T18:25:43.806Z",16.63,5,5,47
"2026-09-21T18:25:44.805Z",16.97,5,5,45
"2026-09-21T18:25:45.806Z",17.13,5,5,46
"2026-09-21T18:25:46.806Z",17.29,5,5,46
"2026-09-21T18:25:47.805Z",17.87,5.01,5.01,47
"2026-09-21T18:25:48.806Z",18.71,5,5,46
"2026-09-21T18:25:49.806Z",19.31,5,5,46
"2026-09-21T18:25:50.806Z",19.68,5,5,46
"2026-09-21T18:25:51.805Z",19.94,5,5,47
"2026-09-21T18:25:52.806Z",20.47,5,5,47
"2026-09-21T18:25:53.806Z",22.12,5.01,5.01,47
"2026-09-21T18:25:54.806Z",26.3,5,5,48
"2026-09-21T18:25:55.806Z",25.67,5,5,47
"2026-09-21T18:25:56.807Z",19.79,5,5,46
"2026-09-21T18:25:57.806Z",16.27,5.01,5.01,48
"2026-09-21T18:25:58.806Z",15.02,5,5,48
"2026-09-21T18:25:59.807Z",15.09,5,5,47
"2026-09-21T18:26:00.807Z",15.14,5,5,48
"2026-09-21T18:26:01.806Z",15.1,5,5,47
"2026-09-21T18:26:02.807Z",15.02,5,5,48
"2026-09-21T18:26:03.807Z",15.06,5,5,46
"2026-09-21T18:26:04.807Z",15,5,5,46
"2026-09-21T18:26:05.807Z",15.13,5,5,46
"2026-09-21T18:26:06.807Z",15.32,5.01,5.01,47
"2026-09-21T18:26:07.807Z",15.34,5,5,47
"2026-09-21T18:26:08.808Z",15.45,5,5,46
"2026-09-21T18:26:09.808Z",15.59,5,5,47
"2026-09-21T18:26:10.807Z",15.73,5,5,46
"2026-09-21T18:26:11.808Z",15.93,5.01,5.01,47
"2026-09-21T18:26:12.808Z",16.12,5,5,46
"2026-09-21T18:26:13.808Z",16.33,5,5,47
"2026-09-21T18:26:14.808Z",16.6,5,5,46
"2026-09-21T18:26:15.808Z",16.98,5,5,46
"2026-09-21T18:26:16.807Z",17.29,5,5,47
"2026-09-21T18:26:17.808Z",17.42,5,5,46
"2026-09-21T18:26:18.808Z",17.92,5,5,47
"2026-09-21T18:26:19.808Z",18.68,5.01,5.01,46
"2026-09-21T18:26:20.808Z",18.95,5,5,47
"2026-09-21T18:26:21.809Z",19.23,5,5,46
"2026-09-21T18:26:22.808Z",20.43,5,5,47
"2026-09-21T18:26:23.808Z",21.47,5.01,5.01,48
"2026-09-21T18:26:24.808Z",21.64,5,5,46
"2026-09-21T18:26:25.809Z",22.03,5,5,49
"2026-09-21T18:26:26.812Z",20.73,4.99,4.99,47
