Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-21T18:47:17.249Z",14.91,13.55,13.55,47
"2026-09-21T18:47:18.249Z",15.04,15,15,47
"2026-09-21T18:47:19.297Z",15.14,15.27,15.27,46
"2026-09-21T18:47:20.297Z",15.22,15,15,46
"2026-09-21T18:47:21.297Z",15.23,14.99,14.99,46
"2026-09-21T18:47:22.335Z",15.15,15.43,15.43,46
"2026-09-21T18:47:23.336Z",15.1,14.99,14.99,47
"2026-09-21T18:47:24.335Z",14.84,15,15,47
"2026-09-21T18:47:25.375Z",14.84,15.38,15.38,47
"2026-09-21T18:47:26.375Z",15.1,15,15,47
"2026-09-21T18:47:27.375Z",15.14,15,15,48
"2026-09-21T18:47:28.415Z",15.14,15.4,15.4,46
"2026-09-21T18:47:29.415Z",15.14,14.99,14.99,47
"2026-09-21T18:47:30.416Z",15.21,15,15,47
"2026-09-21T18:47:31.454Z",15.21,15.4,15.4,47
"2026-09-21T18:47:32.454Z",15.09,15.02,15.02,49
"2026-09-21T18:47:33.454Z",16.27,14.99,14.99,50
"2026-09-21T18:47:34.496Z",16.11,15.37,15.37,48
"2026-09-21T18:47:35.496Z",14.93,15,15,47
"2026-09-21T18:47:36.544Z",15.18,15.27,15.27,47
"2026-09-21T18:47:37.544Z",15.17,14.99,14.99,46
"2026-09-21T18:47:38.592Z",15.16,15.27,15.27,48
"2026-09-21T18:47:39.592Z",15.23,15,15,48
"2026-09-21T18:47:40.639Z",15.21,15.3,15.3,47
"2026-09-21T18:47:41.639Z",15.06,15,15,48
"2026-09-21T18:47:42.639Z",14.81,15,15,47
"2026-09-21T18:47:43.679Z",18.29,15.38,15.38,47
"2026-09-21T18:47:44.679Z",18.54,15,15,46
"2026-09-21T18:47:45.679Z",15.14,14.99,14.99,47
"2026-09-21T18:47:46.720Z",15.14,15.37,15.37,49
"2026-09-21T18:47:47.721Z",15.14,15,15,49
"2026-09-21T18:47:48.767Z",15.21,15.3,15.3,47
"2026-09-21T18:47:49.767Z",15.22,15,15,47
"2026-09-21T18:47:50.767Z",15.07,14.99,14.99,47
"2026-09-21T18:47:51.809Z",14.85,15.36,15.36,49
"2026-09-21T18:47:52.809Z",16.83,15.02,15.02,47
"2026-09-21T18:47:53.854Z",17.02,15.31,15.31,46
"2026-09-21T18:47:54.854Z",15.16,14.99,14.99,47
"2026-09-21T18:47:55.854Z",15.15,15.02,15.02,47
"2026-09-21T18:47:56.895Z",15.14,15.36,15.36,47
"2026-09-21T18:47:57.895Z",15.14,15.02,15.02,47
"2026-09-21T18:47:58.895Z",15.14,14.99,14.99,47
"2026-09-21T18:47:59.935Z",15.14,15.38,15.38,48
"2026-09-21T18:48:00.935Z",15.06,15.02,15.02,47
"2026-09-21T18:48:01.935Z",18.27,15,15,49
"2026-09-21T18:48:02.973Z",18.36,15.4,15.4,46
"2026-09-21T18:48:03.974Z",15.09,15,15,47
"2026-09-21T18:48:04.974Z",15.14,15,15,47
"2026-09-21T18:48:06.014Z",15.14,15.37,15.37,46
"2026-09-21T18:48:07.014Z",15.14,15.02,15.02,45
"2026-09-21T18:48:08.014Z",15.14,15,15,47
"2026-09-21T18:48:09.053Z",15.14,15.38,15.38,45
"2026-09-21T18:48:10.053Z",15.1,15,15,46
"2026-09-21T18:48:11.054Z",17.52,15,15,47
"2026-09-21T18:48:12.094Z",18.16,15.38,15.38,48
"2026-09-21T18:48:13.094Z",15.95,15,15,47
"2026-09-21T18:48:14.093Z",15.16,15,15,46
"2026-09-21T18:48:15.134Z",15.14,15.38,15.38,46
"2026-09-21T18:48:16.134Z",15.14,14.99,14.99,47
"2026-09-21T18:48:17.134Z",15.14,15,15,47
"2026-09-21T18:48:18.172Z",15.15,15.41,15.41,46
