Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-23T13:40:24.006Z",9.27,9.72,9.72,100
"2026-09-23T13:40:25.027Z",9.23,9.79,9.79,97
"2026-09-23T13:40:26.053Z",9.21,9.74,9.74,98
"2026-09-23T13:40:27.084Z",8.96,9.71,9.71,100
"2026-09-23T13:40:28.106Z",9.25,9.78,9.78,100
"2026-09-23T13:40:29.138Z",9.33,9.69,9.69,100
"2026-09-23T13:40:30.164Z",9.25,9.75,9.75,102
"2026-09-23T13:40:31.194Z",9.28,9.7,9.7,102
"2026-09-23T13:40:32.224Z",9.25,9.72,9.72,104
"2026-09-23T13:40:33.249Z",9.47,9.76,9.76,104
"2026-09-23T13:40:34.287Z",9.25,9.63,9.63,101
"2026-09-23T13:40:35.322Z",9.21,9.66,9.66,103
"2026-09-23T13:40:36.357Z",8.98,9.65,9.65,102
"2026-09-23T13:40:37.385Z",9.03,9.74,9.74,101
"2026-09-23T13:40:38.398Z",9.12,9.86,9.86,102
"2026-09-23T13:40:39.430Z",9.33,9.7,9.7,105
"2026-09-23T13:40:40.458Z",9.33,9.73,9.73,100
"2026-09-23T13:40:41.490Z",9.29,9.68,9.68,100
"2026-09-23T13:40:42.518Z",9.25,9.73,9.73,102
"2026-09-23T13:40:43.545Z",9.25,9.75,9.75,96
"2026-09-23T13:40:44.575Z",9.28,9.7,9.7,103
"2026-09-23T13:40:45.619Z",9.11,9.59,9.59,100
"2026-09-23T13:40:46.649Z",9.28,9.71,9.71,97
"2026-09-23T13:40:47.672Z",9.25,9.77,9.77,102
"2026-09-23T13:40:48.700Z",9.15,9.73,9.73,97
"2026-09-23T13:40:49.721Z",9.21,9.8,9.8,99
"2026-09-23T13:40:50.747Z",9.33,9.75,9.75,104
"2026-09-23T13:40:51.776Z",9.29,9.72,9.72,100
"2026-09-23T13:40:52.799Z",9.48,9.77,9.77,102
"2026-09-23T13:40:53.843Z",9.27,9.58,9.58,103
"2026-09-23T13:40:54.883Z",9.22,9.62,9.62,105
"2026-09-23T13:40:55.936Z",9.15,9.5,9.5,103
"2026-09-23T13:40:56.971Z",9.11,9.65,9.65,101
"2026-09-23T13:40:58.014Z",9.11,9.6,9.6,103
"2026-09-23T13:40:59.118Z",9.21,9.96,9.96,102
"2026-09-23T13:41:00.138Z",8.97,9.81,9.81,100
"2026-09-23T13:41:01.155Z",9.4,9.83,9.83,98
"2026-09-23T13:41:02.192Z",9.13,9.63,9.63,99
"2026-09-23T13:41:03.225Z",8.95,9.68,9.68,107
"2026-09-23T13:41:04.254Z",8.95,9.72,9.72,101
"2026-09-23T13:41:05.288Z",8.94,9.68,9.68,104
"2026-09-23T13:41:06.315Z",9.11,9.74,9.74,104
"2026-09-23T13:41:07.334Z",9.3,9.81,9.81,98
"2026-09-23T13:41:08.364Z",9.47,9.7,9.7,103
"2026-09-23T13:41:09.394Z",9.47,9.72,9.72,103
"2026-09-23T13:41:10.424Z",9.25,9.71,9.71,102
"2026-09-23T13:41:11.452Z",9.09,9.73,9.73,103
"2026-09-23T13:41:12.481Z",8.88,9.72,9.72,102
"2026-09-23T13:41:13.518Z",9.05,9.63,9.63,102
"2026-09-23T13:41:14.551Z",9.04,9.69,9.69,104
"2026-09-23T13:41:15.582Z",9.03,9.7,9.7,102
"2026-09-23T13:41:16.615Z",9.03,9.68,9.68,103
"2026-09-23T13:41:17.647Z",9.04,9.69,9.69,99
"2026-09-23T13:41:18.690Z",9.12,9.58,9.58,102
"2026-09-23T13:41:19.735Z",9.34,9.58,9.58,97
"2026-09-23T13:41:20.754Z",9.37,9.8,9.8,102
"2026-09-23T13:41:21.771Z",9.35,9.84,9.84,99
"2026-09-23T13:41:22.785Z",9.23,9.85,9.85,102
"2026-09-23T13:41:23.813Z",9.19,9.73,9.73,103
"2026-09-23T13:41:24.849Z",9.26,9.66,9.66,102
"2026-09-23T13:41:25.870Z",9.1,9.78,9.78,100
"2026-09-23T13:41:26.892Z",9.13,9.79,9.79,103
"2026-09-23T13:41:27.924Z",8.82,9.69,9.69,102
"2026-09-23T13:41:28.949Z",8.87,9.76,9.76,104
"2026-09-23T13:41:29.973Z",9.12,9.76,9.76,100
"2026-09-23T13:41:30.985Z",9.18,9.89,9.89,97
"2026-09-23T13:41:32.023Z",9.08,9.63,9.63,101
"2026-09-23T13:41:33.039Z",9.13,9.83,9.83,99
"2026-09-23T13:41:34.072Z",9.48,9.69,9.69,105
"2026-09-23T13:41:35.094Z",9.61,9.78,9.78,99
"2026-09-23T13:41:36.104Z",9.5,9.91,9.91,100
"2026-09-23T13:41:37.132Z",9.31,9.73,9.73,104
"2026-09-23T13:41:38.158Z",9.26,9.75,9.75,100
"2026-09-23T13:41:39.186Z",9.26,9.72,9.72,102
"2026-09-23T13:41:40.210Z",9.26,9.78,9.78,103
"2026-09-23T13:41:41.276Z",8.98,9.36,9.36,102
