Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-21T18:50:20.776Z",16.49,12.82,12.82,47
"2026-09-21T18:50:21.776Z",16.82,14,14,49
"2026-09-21T18:50:22.776Z",17.4,13.99,13.99,49
"2026-09-21T18:50:23.776Z",17.57,14.01,14.01,49
"2026-09-21T18:50:24.776Z",16.98,13.99,13.99,45
"2026-09-21T18:50:25.776Z",16.73,14,14,48
"2026-09-21T18:50:26.819Z",17.19,14.38,14.38,46
"2026-09-21T18:50:27.819Z",16.77,13.99,13.99,46
"2026-09-21T18:50:28.820Z",16.83,14.01,14.01,48
"2026-09-21T18:50:29.820Z",17.11,14,14,46
"2026-09-21T18:50:30.820Z",16.58,14,14,47
"2026-09-21T18:50:31.867Z",16.8,14.31,14.31,47
"2026-09-21T18:50:32.867Z",16.85,14.01,14.01,47
"2026-09-21T18:50:33.867Z",16.71,14,14,48
"2026-09-21T18:50:34.867Z",17.11,13.99,13.99,46
"2026-09-21T18:50:35.867Z",17.39,14,14,46
"2026-09-21T18:50:36.913Z",17.07,14.34,14.34,47
"2026-09-21T18:50:37.913Z",15.46,14.01,14.01,47
"2026-09-21T18:50:38.913Z",15.54,14,14,47
"2026-09-21T18:50:39.913Z",17.08,14,14,48
"2026-09-21T18:50:40.913Z",17.41,13.99,13.99,46
"2026-09-21T18:50:41.913Z",17.4,14,14,47
"2026-09-21T18:50:42.957Z",16.94,14.37,14.37,49
"2026-09-21T18:50:43.957Z",16.37,14,14,46
"2026-09-21T18:50:44.957Z",16.72,13.99,13.99,48
"2026-09-21T18:50:45.958Z",16.74,14,14,47
"2026-09-21T18:50:46.958Z",16.53,14.01,14.01,47
"2026-09-21T18:50:47.958Z",17.53,13.99,13.99,47
"2026-09-21T18:50:49.002Z",17.66,14.38,14.38,47
"2026-09-21T18:50:50.002Z",16.72,13.99,13.99,47
"2026-09-21T18:50:51.002Z",17.06,14,14,47
"2026-09-21T18:50:52.002Z",17.04,14.01,14.01,47
"2026-09-21T18:50:53.002Z",16.72,14,14,47
"2026-09-21T18:50:54.048Z",17.41,14.33,14.33,48
"2026-09-21T18:50:55.049Z",17.77,13.99,13.99,48
"2026-09-21T18:50:56.048Z",17.54,14,14,48
"2026-09-21T18:50:57.049Z",16.56,14,14,48
"2026-09-21T18:50:58.049Z",16.95,14,14,47
"2026-09-21T18:50:59.049Z",17.67,14,14,47
"2026-09-21T18:51:00.094Z",17.85,14.35,14.35,47
"2026-09-21T18:51:01.094Z",17.62,14.01,14.01,48
"2026-09-21T18:51:02.094Z",17.33,13.99,13.99,47
"2026-09-21T18:51:03.094Z",17.5,14,14,48
"2026-09-21T18:51:04.096Z",17.03,13.97,13.97,47
"2026-09-21T18:51:05.140Z",16.85,14.37,14.37,47
"2026-09-21T18:51:06.140Z",17.19,14,14,47
"2026-09-21T18:51:07.140Z",17.27,14,14,49
"2026-09-21T18:51:08.140Z",17.01,14,14,48
"2026-09-21T18:51:09.140Z",16.99,14.01,14.01,47
"2026-09-21T18:51:10.188Z",17.26,14.3,14.3,47
"2026-09-21T18:51:11.189Z",17.27,14,14,46
"2026-09-21T18:51:12.188Z",15.96,13.99,13.99,48
"2026-09-21T18:51:13.189Z",18.31,14,14,46
"2026-09-21T18:51:14.189Z",17.67,14,14,47
"2026-09-21T18:51:15.235Z",16.93,14.34,14.34,47
"2026-09-21T18:51:16.235Z",17.9,14,14,46
"2026-09-21T18:51:17.235Z",17.18,14.01,14.01,48
"2026-09-21T18:51:18.235Z",16.49,13.99,13.99,47
"2026-09-21T18:51:19.235Z",16.77,14,14,46
"2026-09-21T18:51:20.280Z",16.85,14.37,14.37,46
