frame_id,timestamp_seconds,timestamp
uniform_0001,0.000000,00:00:00.000
uniform_0002,10.052297,00:00:10.052
uniform_0003,20.104594,00:00:20.105
uniform_0004,30.156890,00:00:30.157
uniform_0005,40.209187,00:00:40.209
uniform_0006,50.261484,00:00:50.261
uniform_0007,60.313781,00:01:00.314
uniform_0008,70.366077,00:01:10.366
uniform_0009,80.418374,00:01:20.418
uniform_0010,90.470671,00:01:30.471
uniform_0011,100.522968,00:01:40.523
uniform_0012,110.575264,00:01:50.575
uniform_0013,120.627561,00:02:00.628
uniform_0014,130.679858,00:02:10.680
uniform_0015,140.732155,00:02:20.732
uniform_0016,150.784451,00:02:30.784
uniform_0017,160.836748,00:02:40.837
uniform_0018,170.889045,00:02:50.889
uniform_0019,180.941342,00:03:00.941
uniform_0020,190.993638,00:03:10.994
uniform_0021,201.045935,00:03:21.046
uniform_0022,211.098232,00:03:31.098
uniform_0023,221.150529,00:03:41.151
uniform_0024,231.202825,00:03:51.203
uniform_0025,241.255122,00:04:01.255
uniform_0026,251.307419,00:04:11.307
uniform_0027,261.359716,00:04:21.360
uniform_0028,271.412012,00:04:31.412
uniform_0029,281.464309,00:04:41.464
uniform_0030,291.516606,00:04:51.517
uniform_0031,301.568903,00:05:01.569
uniform_0032,311.621199,00:05:11.621
uniform_0033,321.673496,00:05:21.673
uniform_0034,331.725793,00:05:31.726
uniform_0035,341.778090,00:05:41.778
uniform_0036,351.830386,00:05:51.830
uniform_0037,361.882683,00:06:01.883
uniform_0038,371.934980,00:06:11.935
uniform_0039,381.987277,00:06:21.987
uniform_0040,392.039573,00:06:32.040
uniform_0041,402.091870,00:06:42.092
uniform_0042,412.144167,00:06:52.144
uniform_0043,422.196464,00:07:02.196
uniform_0044,432.248760,00:07:12.249
uniform_0045,442.301057,00:07:22.301
uniform_0046,452.353354,00:07:32.353
uniform_0047,462.405651,00:07:42.406
uniform_0048,472.457947,00:07:52.458
uniform_0049,482.510244,00:08:02.510
uniform_0050,492.562541,00:08:12.563
uniform_0051,502.614838,00:08:22.615
uniform_0052,512.667134,00:08:32.667
uniform_0053,522.719431,00:08:42.719
uniform_0054,532.771728,00:08:52.772
uniform_0055,542.824025,00:09:02.824
uniform_0056,552.876321,00:09:12.876
uniform_0057,562.928618,00:09:22.929
uniform_0058,572.980915,00:09:32.981
uniform_0059,583.033212,00:09:43.033
uniform_0060,593.085508,00:09:53.086
uniform_0061,603.137805,00:10:03.138
uniform_0062,613.190102,00:10:13.190
uniform_0063,623.242399,00:10:23.242
uniform_0064,633.294695,00:10:33.295
uniform_0065,643.346992,00:10:43.347
uniform_0066,653.399289,00:10:53.399
uniform_0067,663.451586,00:11:03.452
uniform_0068,673.503883,00:11:13.504
uniform_0069,683.556179,00:11:23.556
uniform_0070,693.608476,00:11:33.608
uniform_0071,703.660773,00:11:43.661
uniform_0072,713.713070,00:11:53.713
uniform_0073,723.765366,00:12:03.765
uniform_0074,733.817663,00:12:13.818
uniform_0075,743.869960,00:12:23.870
uniform_0076,753.922257,00:12:33.922
